Facility ID,Facility Name,City/Town,County/Parish,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
390045,UPMC WILLIAMSPORT,WILLIAMSPORT,LYCOMING,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390046,WELLSPAN YORK HOSPITAL,YORK,YORK,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390048,GEISINGER-LEWISTOWN HOSPITAL,LEWISTOWN,MIFFLIN,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390049,ST LUKES HOSPITAL BETHLEHEM,BETHLEHEM,NORTHAMPTON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390050,ALLEGHENY GENERAL HOSPITAL,PITTSBURGH,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390056,PENN HIGHLANDS HUNTINGDON,HUNTINGDON,HUNTINGDON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390057,ST LUKE'S HOSPITAL - GRAND VIEW CAMPUS,SELLERSVILLE,BUCKS,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0
390058,UPMC CARLISLE,CARLISLE,CUMBERLAND,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390062,CONEMAUGH NASON MEDICAL CENTER,ROARING SPRING,BLAIR,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0
390063,UPMC HAMOT,ERIE,ERIE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390065,GETTYSBURG HOSPITAL,GETTYSBURG,ADAMS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390066,WELLSPAN GOOD SAMARITAN HOSPITAL,LEBANON,LEBANON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390067,UPMC PINNACLE HOSPITALS,HARRISBURG,DAUPHIN,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390068,UPMC LITITZ,LITITZ,LANCASTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0
39006F,LEBANON VA MEDICAL CENTER,LEBANON,LEBANON,PA,Acute Care - Veterans Administration,Veterans Health Administration,Yes,5.0
390070,LOWER BUCKS HOSPITAL,BRISTOL,BUCKS,PA,Acute Care Hospitals,Proprietary,Yes,3.0
390073,UPMC ALTOONA,ALTOONA,BLAIR,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390079,ROBERT PACKER HOSPITAL,SAYRE,BRADFORD,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390086,PENN HIGHLANDS DUBOIS,DUBOIS,CLEARFIELD,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0
390090,WEST PENN HOSPITAL,PITTSBURGH,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390091,UPMC NORTHWEST,SENECA,VENANGO,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0
390093,CLARION HOSPITAL,CLARION,CLARION,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390096,PENN STATE HEALTH ST. JOSEPH,READING,BERKS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
